vertex1_key,vertex2_key,edge_type,edge_dir,ra1_deg,dec1_deg,ra2_deg,dec2_deg,x1,y1,z1,x2,y2,z2,constellation
476,475,P,+,46.418,-46.0,52.668,-46.0,0.4788919263895712,0.5032025183637648,-0.7193398003386512,0.4212634691591483,0.5523471202068032,-0.7193398003386512,HOR ERI
492,493,M,+,46.418,-40.0,46.418,-39.583333333333336,0.5281049141074553,0.5549137667503145,-0.6427876096865393,0.5313134728455124,0.5582852055830396,-0.6371998295667883,ERI FOR
493,494,P,+,46.418,-39.583333333333336,53.918,-39.583333333333336,0.5313134728455124,0.5582852055830396,-0.6371998295667883,0.453897170373814,0.6228593227420623,-0.6371998295667883,ERI FOR
477,476,M,+,46.418,-49.0,46.418,-46.0,0.4522818490057773,0.4752416002202275,-0.754709580222772,0.4788919263895712,0.5032025183637648,-0.7193398003386512,HOR ERI
189,188,P,+,47.918,57.0,48.918,57.0,0.3650135341927739,0.4042236983629245,0.838670567945424,0.3579032645881219,0.410532497689604,0.838670567945424,PER CAM
189,190,M,+,47.918,57.0,47.918,68.0,0.3650135341927739,0.4042236983629245,0.838670567945424,0.25105889920447,0.2780279283829487,0.9271838545667874,CAM CAS
190,191,P,+,47.918,68.0,52.668,68.0,0.25105889920447,0.2780279283829487,0.9271838545667874,0.227173643654514,0.2978627795804743,0.9271838545667874,CAM CAS
187,188,M,+,48.918,55.0,48.918,57.0,0.3769191443562184,0.4323446390958742,0.8191520442889918,0.3579032645881219,0.410532497689604,0.838670567945424,CAM PER
187,186,P,+,48.918,55.0,51.418,55.0,0.3769191443562184,0.4323446390958742,0.8191520442889918,0.3577017925611863,0.4483741249622681,0.8191520442889918,PER CAM
540,539,P,+,49.418,-57.5,53.918,-57.5,0.3495325515936258,0.4080660050850839,-0.8433914458128856,0.3164385696314045,0.434232081702033,-0.8433914458128856,RET HOR
541,540,M,+,49.418,-67.5,49.418,-57.5,0.2489492165809192,0.290638774031396,-0.9238795325112868,0.3495325515936258,0.4080660050850839,-0.8433914458128856,RET HOR
541,424,P,+,49.418,-67.5,70.168,-67.5,0.2489492165809192,0.290638774031396,-0.9238795325112868,0.1298304649145994,0.3599870272479069,-0.9238795325112868,HYI RET
336,335,M,+,50.668,-1.75,50.668,0.0,0.6335173515498461,0.7731255813231134,-0.0305385132098226,0.6338129677258036,0.7734863424409052,0.0,TAU CET
335,129,M,+,50.668,0.0,50.668,9.916666666666666,0.6338129677258036,0.7734863424409052,0.0,0.6243433407809816,0.7619298936416453,0.1722156496886213,TAU CET
129,128,M,+,50.668,9.916666666666666,50.668,19.0,0.6243433407809816,0.7619298936416453,0.1722156496886213,0.5992819344404776,0.7313457047502501,0.3255681544571567,TAU ARI
336,498,P,+,50.668,-1.75,55.168,-1.75,0.6335173515498461,0.7731255813231134,-0.0305385132098226,0.5709056949860695,0.8204474917040129,-0.0305385132098226,ERI TAU
128,127,P,+,50.668,19.0,51.918,19.0,0.5992819344404776,0.7313457047502501,0.3255681544571567,0.5831850990989343,0.7442449307804031,0.3255681544571567,TAU ARI
185,133,P,+,51.418,52.5,71.79300000000002,52.5,0.3796443518214128,0.4758788118616324,0.7933533402912352,0.1902081033521006,0.5782831096166793,0.7933533402912352,PER CAM
185,186,M,+,51.418,52.5,51.418,55.0,0.3796443518214128,0.4758788118616324,0.7933533402912352,0.3577017925611863,0.4483741249622681,0.8191520442889918,CAM PER
126,130,P,+,51.918,30.666666666666668,68.918,30.666666666666668,0.5305302074443824,0.6770481929775335,0.5100425897656753,0.3093988262008287,0.8025764281180158,0.5100425897656753,TAU PER
127,126,M,+,51.918,19.0,51.918,30.666666666666668,0.5831850990989343,0.7442449307804031,0.3255681544571567,0.5305302074443824,0.6770481929775335,0.5100425897656753,TAU ARI
191,192,M,+,52.668,68.0,52.668,77.0,0.227173643654514,0.2978627795804743,0.9271838545667874,0.1364176486944069,0.1788664361335179,0.9743700647852352,CAM CAS
192,193,P,+,52.668,77.0,54.043,77.0,0.1364176486944069,0.1788664361335179,0.9743700647852352,0.1320862936259662,0.1820884067879432,0.9743700647852352,CAM CEP
475,474,M,+,52.668,-46.0,52.668,-44.0,0.4212634691591483,0.5523471202068032,-0.7193398003386512,0.4362310924068768,0.5719721867090685,-0.6946583704589973,HOR ERI
474,473,P,+,52.668,-44.0,59.418,-44.0,0.4362310924068768,0.5719721867090685,-0.6946583704589973,0.3659792155682068,0.6192810041680034,-0.6946583704589973,HOR ERI
621,558,M,+,53.918,-85.0,53.918,-82.5,0.0513297202190202,0.0704370876465876,-0.9961946980917455,0.0768724207572579,0.1054879982859898,-0.9914448613738104,MEN OCT
558,557,M,+,53.918,-82.5,53.918,-75.0,0.0768724207572579,0.1054879982859898,-0.9914448613738104,0.1524295330822974,0.2091710676745076,-0.9659258262890684,MEN HYI
557,556,P,+,53.918,-75.0,70.168,-75.0,0.1524295330822974,0.2091710676745076,-0.9659258262890684,0.0878078174086073,0.243468859014284,-0.9659258262890684,MEN HYI
538,418,P,+,53.918,-53.16666666666666,58.918,-53.16666666666666,0.3530647472965526,0.4844922677180784,-0.8003827376560636,0.3094949458914612,0.5134202486558417,-0.8003827376560636,RET HOR
621,620,P,+,53.918,-85.0,116.418,-85.0,0.0513297202190202,0.0704370876465876,-0.9961946980917455,-0.0387770326711723,0.0780542454394045,-0.9961946980917455,OCT MEN
539,538,M,+,53.918,-57.5,53.918,-53.16666666666666,0.3164385696314045,0.434232081702033,-0.8433914458128856,0.3530647472965526,0.4844922677180784,-0.8003827376560636,RET HOR
494,495,M,+,53.918,-39.583333333333336,53.918,-36.0,0.453897170373814,0.6228593227420623,-0.6371998295667883,0.4764644837452723,0.6538272653513502,-0.5877852522924731,ERI FOR
495,496,P,+,53.918,-36.0,57.668,-36.0,0.4764644837452723,0.6538272653513502,-0.5877852522924731,0.432681987581529,0.6835896391915045,-0.5877852522924731,ERI FOR
193,194,M,+,54.043,77.0,54.043,80.0,0.1320862936259662,0.1820884067879432,0.9743700647852352,0.1019623768816252,0.14056088825735,0.984807753012208,CAM CEP
194,195,P,+,54.043,80.0,76.418,80.0,0.1019623768816252,0.14056088825735,0.984807753012208,0.0407789738516755,0.1687920759356024,0.984807753012208,CAM CEP
498,463,M,+,55.168,-1.75,55.168,0.0,0.5709056949860695,0.8204474917040129,-0.0305385132098226,0.5711720948849377,0.8208303344935247,0.0,ERI TAU
463,464,P,+,55.168,0.0,70.668,0.0,0.5711720948849377,0.8208303344935247,0.0,0.331041459028269,0.9436162103336476,0.0,ERI TAU
496,497,M,+,57.668,-36.0,57.668,-24.383333333333333,0.432681987581529,0.6835896391915045,-0.5877852522924731,0.4871200440414959,0.7695957416913076,-0.4128395052119128,ERI FOR
418,419,P,+,58.918,-53.16666666666666,61.418,-53.16666666666666,0.3094949458914612,0.5134202486558417,-0.8003827376560636,0.2868052985741113,0.5264315662761871,-0.8003827376560636,RET DOR
437,436,P,+,58.918,-51.0,62.66799999999999,-51.0,0.3248956506216925,0.5389684320980473,-0.7771459614569709,0.2889498020787916,0.5590636515368779,-0.7771459614569709,DOR HOR
418,437,M,+,58.918,-53.16666666666666,58.918,-51.0,0.3094949458914612,0.5134202486558417,-0.8003827376560636,0.3248956506216925,0.5389684320980473,-0.7771459614569709,DOR HOR
473,472,M,+,59.418,-44.0,59.418,-40.0,0.3659792155682068,0.6192810041680034,-0.6946583704589973,0.3897411824718736,0.6594891200913711,-0.6427876096865393,HOR ERI
472,171,P,+,59.418,-40.0,65.418,-40.0,0.3897411824718736,0.6594891200913711,-0.6427876096865393,0.3186707552301117,0.6966154165639283,-0.6427876096865393,HOR ERI
420,419,M,+,61.418,-56.5,61.418,-53.16666666666666,0.2640554890900813,0.4846742560078481,-0.8338858220671682,0.2868052985741113,0.5264315662761871,-0.8003827376560636,DOR RET
420,421,P,+,61.418,-56.5,66.418,-56.5,0.2640554890900813,0.4846742560078481,-0.8338858220671682,0.220808533460529,0.5058438764148218,-0.8338858220671682,RET DOR
435,172,P,+,62.66799999999999,-49.0,65.418,-49.0,0.3012267348632581,0.5828172129609658,-0.754709580222772,0.2729173589364025,0.5965983277810507,-0.754709580222772,DOR HOR
436,435,M,+,62.66799999999999,-51.0,62.66799999999999,-49.0,0.2889498020787916,0.5590636515368779,-0.7771459614569709,0.3012267348632581,0.5828172129609658,-0.754709580222772,DOR HOR
184,183,P,+,65.418,-37.0,70.168,-37.0,0.3322284802486693,0.7262526521949225,-0.6018150231520483,0.2709477620338368,0.751269584208861,-0.6018150231520483,CAE ERI
172,173,P,+,65.418,-49.0,68.918,-49.0,0.2729173589364025,0.5965983277810507,-0.754709580222772,0.2359868564478434,0.6121467578153398,-0.754709580222772,DOR CAE
172,171,M,+,65.418,-49.0,65.418,-40.0,0.2729173589364025,0.5965983277810507,-0.754709580222772,0.3186707552301117,0.6966154165639283,-0.6427876096865393,CAE HOR
171,184,M,+,65.418,-40.0,65.418,-37.0,0.3186707552301117,0.6966154165639283,-0.6427876096865393,0.3322284802486693,0.7262526521949225,-0.6018150231520483,CAE ERI
422,421,M,+,66.418,-59.0,66.418,-56.5,0.2060467137075886,0.4720264509297732,-0.8571673007021123,0.220808533460529,0.5058438764148218,-0.8338858220671682,DOR RET
422,423,P,+,66.418,-59.0,70.168,-59.0,0.2060467137075886,0.4720264509297732,-0.8571673007021123,0.1747335449069014,0.4844919059089867,-0.8571673007021123,RET DOR
173,174,M,+,68.918,-49.0,68.918,-46.5,0.2359868564478434,0.6121467578153398,-0.754709580222772,0.247603683908462,0.6422806532922243,-0.7253743710122876,PIC CAE
131,132,P,+,68.918,36.0,71.79300000000002,36.0,0.2910064016788175,0.7548667242430418,0.5877852522924731,0.252778150432838,0.7685126569232463,0.5877852522924731,AUR PER
174,175,P,+,68.918,-46.5,73.918,-46.5,0.247603683908462,0.6422806532922243,-0.7253743710122876,0.1906830297474593,0.6614166644747149,-0.7253743710122876,PIC CAE
434,173,M,+,68.918,-54.0,68.918,-49.0,0.2114285267414715,0.5484427781386653,-0.8090169943749475,0.2359868564478434,0.6121467578153398,-0.754709580222772,PIC DOR
130,131,M,+,68.918,30.666666666666668,68.918,36.0,0.3093988262008287,0.8025764281180158,0.5100425897656753,0.2910064016788175,0.7548667242430418,0.5877852522924731,AUR PER
434,433,P,+,68.918,-54.0,76.418,-54.0,0.2114285267414715,0.5484427781386653,-0.8090169943749475,0.1380335789046406,0.571347734665416,-0.8090169943749475,DOR PIC
150,149,P,+,68.918,30.0,72.668,30.0,0.3115125371531486,0.808059366133707,0.4999999999999999,0.2579959537500961,0.8267031437272865,0.4999999999999999,TAU AUR
150,130,M,+,68.918,30.0,68.918,30.666666666666668,0.3115125371531486,0.808059366133707,0.4999999999999999,0.3093988262008287,0.8025764281180158,0.5100425897656753,AUR TAU
424,423,M,+,70.168,-67.5,70.168,-59.0,0.1298304649145994,0.3599870272479069,-0.9238795325112868,0.1747335449069014,0.4844919059089867,-0.8571673007021123,DOR RET
425,424,M,+,70.168,-70.0,70.168,-67.5,0.1160349010765805,0.3217354195183664,-0.9396926207859084,0.1298304649145994,0.3599870272479069,-0.9238795325112868,DOR HYI
556,425,M,+,70.168,-75.0,70.168,-70.0,0.0878078174086073,0.243468859014284,-0.9659258262890684,0.1160349010765805,0.3217354195183664,-0.9396926207859084,MEN HYI
182,181,P,+,70.168,-30.0,71.918,-30.0,0.2938106834317302,0.8146626800715617,-0.4999999999999999,0.268795060419791,0.8232552553697553,-0.4999999999999999,CAE ERI
183,182,M,+,70.168,-37.0,70.168,-30.0,0.2709477620338368,0.751269584208861,-0.6018150231520483,0.2938106834317302,0.8146626800715617,-0.4999999999999999,CAE ERI
425,426,P,+,70.168,-70.0,100.168,-70.0,0.1160349010765805,0.3217354195183664,-0.9396926207859084,-0.0603785377012501,0.3366484971384393,-0.9396926207859084,MEN DOR
657,658,P,+,70.668,15.5,75.918,15.5,0.3190016311942546,0.9092973164188164,0.2672383760782568,0.2344612199489841,0.9346719139308136,0.2672383760782568,ORI TAU
464,657,M,+,70.668,0.0,70.668,15.5,0.331041459028269,0.9436162103336476,0.0,0.3190016311942546,0.9092973164188164,0.2672383760782568,ORI TAU
